Bedstraw Hawk-moth,Sphingidae,Macroglossinae,Hyles,gallii
Hyles gallii,Sphingidae,Macroglossinae,Hyles,gallii
Mediterranean Hawk-moth,Sphingidae,Macroglossinae,Hyles,nicaea
Hyles nicaea,Sphingidae,Macroglossinae,Hyles,nicaea
Seathorn Hawk-moth,Sphingidae,Macroglossinae,Hyles,hippophaes
Hyles hippophaes,Sphingidae,Macroglossinae,Hyles,hippophaes
Striped Hawk-moth,Sphingidae,Macroglossinae,Hyles,livornica
Hyles livornica,Sphingidae,Macroglossinae,Hyles,livornica
White-lined Hawk-moth,Sphingidae,Macroglossinae,Hyles,lineata
Hyles lineata,Sphingidae,Macroglossinae,Hyles,lineata
Elephant Hawk-moth,Sphingidae,Macroglossinae,Deilephila,elpenor
Deilephila elpenor,Sphingidae,Macroglossinae,Deilephila,elpenor
Small Elephant Hawk-moth,Sphingidae,Macroglossinae,Deilephila,porcellus
Deilephila porcellus,Sphingidae,Macroglossinae,Deilephila,porcellus
Silver-striped Hawk-moth,Sphingidae,Macroglossinae,Hippotion,celerio
Hippotion celerio,Sphingidae,Macroglossinae,Hippotion,celerio
Ochraceous Wave,Geometridae,Sterrhinae,Idaea,serpentata
Idaea serpentata,Geometridae,Sterrhinae,Idaea,serpentata
Purple-bordered Gold,Geometridae,Sterrhinae,Idaea,muricata
Idaea muricata,Geometridae,Sterrhinae,Idaea,muricata
Bright Wave,Geometridae,Sterrhinae,Idaea,ochrata
Idaea ochrata,Geometridae,Sterrhinae,Idaea,ochrata
Least Carpet,Geometridae,Sterrhinae,Idaea,rusticata
Idaea rusticata,Geometridae,Sterrhinae,Idaea,rusticata
Rusty Wave,Geometridae,Sterrhinae,Idaea,inquinata
Idaea inquinata,Geometridae,Sterrhinae,Idaea,inquinata
Strange Wave,Geometridae,Sterrhinae,Idaea,laevigata
Idaea laevigata,Geometridae,Sterrhinae,Idaea,laevigata
Silky Wave,Geometridae,Sterrhinae,Idaea,dilutaria
Idaea dilutaria,Geometridae,Sterrhinae,Idaea,dilutaria
Dwarf Cream Wave,Geometridae,Sterrhinae,Idaea,fuscovenosa
Idaea fuscovenosa,Geometridae,Sterrhinae,Idaea,fuscovenosa
Isle of Wight Wave,Geometridae,Sterrhinae,Idaea,humiliata
Idaea humiliata,Geometridae,Sterrhinae,Idaea,humiliata
Small Dusty Wave,Geometridae,Sterrhinae,Idaea,seriata
Idaea seriata,Geometridae,Sterrhinae,Idaea,seriata
Satin Wave,Geometridae,Sterrhinae,Idaea,subsericeata
Idaea subsericeata,Geometridae,Sterrhinae,Idaea,subsericeata
Dotted Border Wave,Geometridae,Sterrhinae,Idaea,sylvestraria
Idaea sylvestraria,Geometridae,Sterrhinae,Idaea,sylvestraria
Single-dotted Wave,Geometridae,Sterrhinae,Idaea,dimidiata
Idaea dimidiata,Geometridae,Sterrhinae,Idaea,dimidiata
Treble Brown Spot,Geometridae,Sterrhinae,Idaea,trigeminata
Idaea trigeminata,Geometridae,Sterrhinae,Idaea,trigeminata
Small Fan-footed Wave,Geometridae,Sterrhinae,Idaea,biselata
Idaea biselata,Geometridae,Sterrhinae,Idaea,biselata
Weaver's Wave,Geometridae,Sterrhinae,Idaea,contiguaria
Idaea contiguaria,Geometridae,Sterrhinae,Idaea,contiguaria
Small Scallop,Geometridae,Sterrhinae,Idaea,emarginata
Idaea emarginata,Geometridae,Sterrhinae,Idaea,emarginata
Riband Wave,Geometridae,Sterrhinae,Idaea,aversata
Idaea aversata,Geometridae,Sterrhinae,Idaea,aversata
Portland Ribbon Wave,Geometridae,Sterrhinae,Idaea,degeneraria
Idaea degeneraria,Geometridae,Sterrhinae,Idaea,degeneraria
Plain Wave,Geometridae,Sterrhinae,Idaea,straminata
Idaea straminata,Geometridae,Sterrhinae,Idaea,straminata
Lewes Wave,Geometridae,Sterrhinae,Scopula,immorata
Scopula immorata,Geometridae,Sterrhinae,Scopula,immorata
Sub-angled Wave,Geometridae,Sterrhinae,Scopula,nigropunctata
Scopula nigropunctata,Geometridae,Sterrhinae,Scopula,nigropunctata
Streaked Wave,Geometridae,Sterrhinae,Scopula,virgulata
Scopula virgulata,Geometridae,Sterrhinae,Scopula,virgulata
Lace Border,Geometridae,Sterrhinae,Scopula,ornata
Scopula ornata,Geometridae,Sterrhinae,Scopula,ornata
Tawny Wave,Geometridae,Sterrhinae,Scopula,rubiginata
Scopula rubiginata,Geometridae,Sterrhinae,Scopula,rubiginata
Mullein Wave,Geometridae,Sterrhinae,Scopula,marginepunctata
Scopula marginepunctata,Geometridae,Sterrhinae,Scopula,marginepunctata
Small Blood-vein,Geometridae,Sterrhinae,Scopula,imitaria
Scopula imitaria,Geometridae,Sterrhinae,Scopula,imitaria
Lesser Cream Wave,Geometridae,Sterrhinae,Scopula,immutata
Scopula immutata,Geometridae,Sterrhinae,Scopula,immutata
Smoky Wave,Geometridae,Sterrhinae,Scopula,ternata
Scopula ternata,Geometridae,Sterrhinae,Scopula,ternata
Cream Wave,Geometridae,Sterrhinae,Scopula,floslactata
Scopula floslactata,Geometridae,Sterrhinae,Scopula,floslactata
Rosy Wave,Geometridae,Sterrhinae,Scopula,emutaria
Scopula emutaria,Geometridae,Sterrhinae,Scopula,emutaria
Petite Wave,Geometridae,Sterrhinae,Scopula,minorata
Scopula minorata,Geometridae,Sterrhinae,Scopula,minorata
Blood-vein,Geometridae,Sterrhinae,Timandra,comae
Timandra comae,Geometridae,Sterrhinae,Timandra,comae
Dingy Mocha,Geometridae,Sterrhinae,Cyclophora,pendularia
Cyclophora pendularia,Geometridae,Sterrhinae,Cyclophora,pendularia
The Mocha,Geometridae,Sterrhinae,Cyclophora,annularia
Cyclophora annularia,Geometridae,Sterrhinae,Cyclophora,annularia
Birch Mocha,Geometridae,Sterrhinae,Cyclophora,albipunctata
Cyclophora albipunctata,Geometridae,Sterrhinae,Cyclophora,albipunctata
Blair's Mocha,Geometridae,Sterrhinae,Cyclophora,puppillaria
Cyclophora puppillaria,Geometridae,Sterrhinae,Cyclophora,puppillaria
Jersey Mocha,Geometridae,Sterrhinae,Cyclophora,ruficiliaria
Cyclophora ruficiliaria,Geometridae,Sterrhinae,Cyclophora,ruficiliaria
False Mocha,Geometridae,Sterrhinae,Cyclophora,porata
Cyclophora porata,Geometridae,Sterrhinae,Cyclophora,porata
Maiden's Blush,Geometridae,Sterrhinae,Cyclophora,punctaria
Cyclophora punctaria,Geometridae,Sterrhinae,Cyclophora,punctaria
Clay Triple-lines,Geometridae,Sterrhinae,Cyclophora,linearia
Cyclophora linearia,Geometridae,Sterrhinae,Cyclophora,linearia
The Vestal,Geometridae,Sterrhinae,Rhodometra,sacraria
Rhodometra sacraria,Geometridae,Sterrhinae,Rhodometra,sacraria
Oblique Striped,Geometridae,Larentiinae,Phibalapteryx,virgata
Phibalapteryx virgata,Geometridae,Larentiinae,Phibalapteryx,virgata
Lead Belle,Geometridae,Larentiinae,Scotopteryx,mucronata
Scotopteryx mucronata,Geometridae,Larentiinae,Scotopteryx,mucronata
July Belle,Geometridae,Larentiinae,Scotopteryx,luridata
Scotopteryx luridata,Geometridae,Larentiinae,Scotopteryx,luridata
Spanish Carpet,Geometridae,Larentiinae,Scotopteryx,peribolata
Scotopteryx peribolata,Geometridae,Larentiinae,Scotopteryx,peribolata
Chalk Carpet,Geometridae,Larentiinae,Scotopteryx,bipunctaria
Scotopteryx bipunctaria,Geometridae,Larentiinae,Scotopteryx,bipunctaria
Fortified Carpet,Geometridae,Larentiinae,Scotopteryx,moeniata
Scotopteryx moeniata,Geometridae,Larentiinae,Scotopteryx,moeniata
Shaded Broad-bar,Geometridae,Larentiinae,Scotopteryx,chenopodiata
Scotopteryx chenopodiata,Geometridae,Larentiinae,Scotopteryx,chenopodiata
Oblique Carpet,Geometridae,Larentiinae,Orthonama,vittata
Orthonama vittata,Geometridae,Larentiinae,Orthonama,vittata
The Gem,Geometridae,Larentiinae,Nycterosea,obstipata
Nycterosea obstipata,Geometridae,Larentiinae,Nycterosea,obstipata
Red Carpet,Geometridae,Larentiinae,Xanthorhoe,decoloraria
Xanthorhoe decoloraria,Geometridae,Larentiinae,Xanthorhoe,decoloraria
Garden Carpet,Geometridae,Larentiinae,Xanthorhoe,fluctuata
Xanthorhoe fluctuata,Geometridae,Larentiinae,Xanthorhoe,fluctuata
Balsam Carpet,Geometridae,Larentiinae,Xanthorhoe,biriviata
Xanthorhoe biriviata,Geometridae,Larentiinae,Xanthorhoe,biriviata
Red Twin-spot Carpet,Geometridae,Larentiinae,Xanthorhoe,spadicearia
Xanthorhoe spadicearia,Geometridae,Larentiinae,Xanthorhoe,spadicearia
Dark-barred Twin-spot Carpet,Geometridae,Larentiinae,Xanthorhoe,ferrugata
Xanthorhoe ferrugata,Geometridae,Larentiinae,Xanthorhoe,ferrugata
Flame Carpet,Geometridae,Larentiinae,Xanthorhoe,designata
Xanthorhoe designata,Geometridae,Larentiinae,Xanthorhoe,designata
Silver-ground Carpet,Geometridae,Larentiinae,Xanthorhoe,montanata
Xanthorhoe montanata,Geometridae,Larentiinae,Xanthorhoe,montanata
Large Twin-spot Carpet,Geometridae,Larentiinae,Xanthorhoe,quadrifasiata
Xanthorhoe quadrifasiata,Geometridae,Larentiinae,Xanthorhoe,quadrifasiata
Royal Mantle,Geometridae,Larentiinae,Catarhoe,cuculata
Catarhoe cuculata,Geometridae,Larentiinae,Catarhoe,cuculata
Ruddy Carpet,Geometridae,Larentiinae,Catarhoe,rubidata
Catarhoe rubidata,Geometridae,Larentiinae,Catarhoe,rubidata
The Many-lined,Geometridae,Larentiinae,Costaconvexa,polygrammata
Costaconvexa polygrammata,Geometridae,Larentiinae,Costaconvexa,polygrammata
The Traveller,Geometridae,Larentiinae,Costaconvexa,centrostrigaria
Costaconvexa centrostrigaria,Geometridae,Larentiinae,Costaconvexa,centrostrigaria
Yellow Shell,Geometridae,Larentiinae,Camptogramma,bilineata
Camptogramma bilineata,Geometridae,Larentiinae,Camptogramma,bilineata
Small Argent & Sable,Geometridae,Larentiinae,Epirrhoe,tristata
Epirrhoe tristata,Geometridae,Larentiinae,Epirrhoe,tristata
Common Carpet,Geometridae,Larentiinae,Epirrhoe,alternata
Epirrhoe alternata,Geometridae,Larentiinae,Epirrhoe,alternata
Wood Carpet,Geometridae,Larentiinae,Epirrhoe,rivata
Epirrhoe rivata,Geometridae,Larentiinae,Epirrhoe,rivata
Galium Carpet,Geometridae,Larentiinae,Epirrhoe,galiata
Epirrhoe galiata,Geometridae,Larentiinae,Epirrhoe,galiata
Cloaked Carpet,Geometridae,Larentiinae,Euphyia,biangulata
Euphyia biangulata,Geometridae,Larentiinae,Euphyia,biangulata
Sharp-angled Carpet,Geometridae,Larentiinae,Euphyia,unangulata
Euphyia unangulata,Geometridae,Larentiinae,Euphyia,unangulata
Shoulder Stripe,Geometridae,Larentiinae,Earophila,badiata
Earophila badiata,Geometridae,Larentiinae,Earophila,badiata
The Streamer,Geometridae,Larentiinae,Anticlea,derivata
Anticlea derivata,Geometridae,Larentiinae,Anticlea,derivata
Beautiful Carpet,Geometridae,Larentiinae,Mesoleuca,albicillata
Mesoleuca albicillata,Geometridae,Larentiinae,Mesoleuca,albicillata
Dark Spinach,Geometridae,Larentiinae,Pelurga,comitata
Pelurga comitata,Geometridae,Larentiinae,Pelurga,comitata
The Mallow,Geometridae,Larentiinae,Larentia,clavaria
Larentia clavaria,Geometridae,Larentiinae,Larentia,clavaria
Yellow-ringed Carpet,Geometridae,Larentiinae,Entephria,flavicinctata
Entephria flavicinctata,Geometridae,Larentiinae,Entephria,flavicinctata
Grey Mountain Carpet,Geometridae,Larentiinae,Entephria,caesiata
Entephria caesiata,Geometridae,Larentiinae,Entephria,caesiata
White-banded Carpet,Geometridae,Larentiinae,Spargania,luctuata
Spargania luctuata,Geometridae,Larentiinae,Spargania,luctuata
July Highflyer,Geometridae,Larentiinae,Hydriomena,furcata
Hydriomena furcata,Geometridae,Larentiinae,Hydriomena,furcata
May Highflyer,Geometridae,Larentiinae,Hydriomena,impluviata
Hydriomena impluviata,Geometridae,Larentiinae,Hydriomena,impluviata
Ruddy Highflyer,Geometridae,Larentiinae,Hydriomena,ruberata
Hydriomena ruberata,Geometridae,Larentiinae,Hydriomena,ruberata
Pine Carpet,Geometridae,Larentiinae,Pennithera,firmata
Pennithera firmata,Geometridae,Larentiinae,Pennithera,firmata
Chestnut-coloured Carpet,Geometridae,Larentiinae,Thera,cognata
Thera cognata,Geometridae,Larentiinae,Thera,cognata
Spruce Carpet,Geometridae,Larentiinae,Thera,britannica
Thera britannica,Geometridae,Larentiinae,Thera,britannica
Grey Pine Carpet,Geometridae,Larentiinae,Thera,obeliscata
Thera obeliscata,Geometridae,Larentiinae,Thera,obeliscata
Juniper Carpet,Geometridae,Larentiinae,Thera,juniperata
Thera juniperata,Geometridae,Larentiinae,Thera,juniperata
Cypress Carpet,Geometridae,Larentiinae,Thera,cupressata
Thera cupressata,Geometridae,Larentiinae,Thera,cupressata
Blue-bordered Carpet,Geometridae,Larentiinae,Plemyria,rubiginata
Plemyria rubiginata,Geometridae,Larentiinae,Plemyria,rubiginata
Barred Yellow,Geometridae,Larentiinae,Cidaria,fulvata
Cidaria fulvata,Geometridae,Larentiinae,Cidaria,fulvata
Broken-barred Carpet,Geometridae,Larentiinae,Electrophaes,corylata
Electrophaes corylata,Geometridae,Larentiinae,Electrophaes,corylata
Purple Bar,Geometridae,Larentiinae,Cosmorhoe,ocellata
Cosmorhoe ocellata,Geometridae,Larentiinae,Cosmorhoe,ocellata
Netted Carpet,Geometridae,Larentiinae,Eustroma,reticulata
Eustroma reticulata,Geometridae,Larentiinae,Eustroma,reticulata
The Phoenix,Geometridae,Larentiinae,Eulithis,prunata
Eulithis prunata,Geometridae,Larentiinae,Eulithis,prunata
The Chevron,Geometridae,Larentiinae,Eulithis,testata
Eulithis testata,Geometridae,Larentiinae,Eulithis,testata
Northern Spinach,Geometridae,Larentiinae,Eulithis,populata
Eulithis populata,Geometridae,Larentiinae,Eulithis,populata
The Spinach,Geometridae,Larentiinae,Eulithis,mellinata
Eulithis mellinata,Geometridae,Larentiinae,Eulithis,mellinata
Barred Straw,Geometridae,Larentiinae,Gandaritis,pyraliata
Gandaritis pyraliata,Geometridae,Larentiinae,Gandaritis,pyraliata
Small Phoenix,Geometridae,Larentiinae,Ecliptopera,silaceata
Ecliptopera silaceata,Geometridae,Larentiinae,Ecliptopera,silaceata
Red-green Carpet,Geometridae,Larentiinae,Chloroclysta,siterata
Chloroclysta siterata,Geometridae,Larentiinae,Chloroclysta,siterata
Autumn Green Carpet,Geometridae,Larentiinae,Chloroclysta,miata
Chloroclysta miata,Geometridae,Larentiinae,Chloroclysta,miata
Arran Carpet,Geometridae,Larentiinae,Chloroclysta,truncata concinnata
Chloroclysta truncata concinnata,Geometridae,Larentiinae,Chloroclysta,truncata concinnata
Common Marbled Carpet,Geometridae,Larentiinae,Dysstroma,truncata
Dysstroma truncata,Geometridae,Larentiinae,Dysstroma,truncata
Dark Marbled Carpet,Geometridae,Larentiinae,Dysstroma,citrata
Dysstroma citrata,Geometridae,Larentiinae,Dysstroma,citrata
Beech-green Carpet,Geometridae,Larentiinae,Colostygia,olivata
